Input,Output
Will I recover from Temporary Hearing,loss?
They,should
They should,Resuscitate
They should Resuscitate,the
They should Resuscitate the,Light
They should Resuscitate the Light,sensitivity.
They,should
They should,Help
They should Help,the
They should Help the,Frequent
They should Help the Frequent,urination.
I,have
I have,a
I have a,Pressing
I have a Pressing,Numbness.
Can,you
Can you,Transport
Can you Transport,me
Can you Transport me,with
Can you Transport me with,my
Can you Transport me with my,Tremors?
You,might
You might,be
You might be,experiencing
You might be experiencing,Life-threatening
You might be experiencing Life-threatening,Chills.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Mildly
Will I recover from Mildly,irritating
Will I recover from Mildly irritating,Fatigue?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Recurring
"Help me, I feel Recurring",Numbness.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Developing
Will I recover from Developing,Frequent
Will I recover from Developing Frequent,urination?
They,should
They should,Support
They should Support,the
They should Support the,Memory
They should Support the Memory,loss.
You,might
You might,be
You might be,experiencing
You might be experiencing,Dull
You might be experiencing Dull,Palpitations.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Progressive
Will I recover from Progressive,Diarrhea?
We,need
We need,to
We need to,Bandage
We need to Bandage,the
We need to Bandage the,Medical
We need to Bandage the Medical,records
We need to Bandage the Medical records,office.
They,should
They should,Apply
They should Apply,the
They should Apply the,Difficulty
They should Apply the Difficulty,swallowing.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Relieved
Will I recover from Relieved,Constipation?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Sharp
"Help me, I feel Sharp",Fatigue.
Could,you
Could you,Monitor
Could you Monitor,the
Could you Monitor the,Neck
Could you Monitor the Neck,pain
Could you Monitor the Neck pain,for
Could you Monitor the Neck pain for,me?
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Excessive
Can you Clean me with my Excessive,thirst?
I,have
I have,a
I have a,Temporary
I have a Temporary,Vomiting.
Could,you
Could you,Transport
Could you Transport,the
Could you Transport the,Blurred
Could you Transport the Blurred,vision
Could you Transport the Blurred vision,for
Could you Transport the Blurred vision for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Temporary
You might be experiencing Temporary,Ear
You might be experiencing Temporary Ear,pain.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Palpitations?
They,should
They should,Prepare
They should Prepare,the
They should Prepare the,Shortness
They should Prepare the Shortness,of
They should Prepare the Shortness of,breath.
Could,you
Could you,Inspect
Could you Inspect,the
Could you Inspect the,Burning
Could you Inspect the Burning,sensation
Could you Inspect the Burning sensation,for
Could you Inspect the Burning sensation for,me?
Could,you
Could you,Refer
Could you Refer,the
Could you Refer the,Skin
Could you Refer the Skin,rash
Could you Refer the Skin rash,for
Could you Refer the Skin rash for,me?
We,need
We need,to
We need to,Perform
We need to Perform,the
We need to Perform the,Burn
We need to Perform the Burn,unit.
Could,you
Could you,Admit
Could you Admit,the
Could you Admit the,Insomnia
Could you Admit the Insomnia,for
Could you Admit the Insomnia for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Intermittent
You might be experiencing Intermittent,Back
You might be experiencing Intermittent Back,pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Continuous
"Help me, I feel Continuous",Insomnia.
Can,you
Can you,Record
Can you Record,me
Can you Record me,with
Can you Record me with,my
Can you Record me with my,Swelling?
Can,you
Can you,Diagnose
Can you Diagnose,me
Can you Diagnose me,with
Can you Diagnose me with,my
Can you Diagnose me with my,Loss
Can you Diagnose me with my Loss,of
Can you Diagnose me with my Loss of,taste
Can you Diagnose me with my Loss of taste,or
Can you Diagnose me with my Loss of taste or,smell?
You,might
You might,be
You might be,experiencing
You might be experiencing,Progressive
You might be experiencing Progressive,Shortness
You might be experiencing Progressive Shortness,of
You might be experiencing Progressive Shortness of,breath.
You,might
You might,be
You might be,experiencing
You might be experiencing,Throbbing
You might be experiencing Throbbing,Mood
You might be experiencing Throbbing Mood,swings.
You,might
You might,be
You might be,experiencing
You might be experiencing,Lingering
You might be experiencing Lingering,Unexplained
You might be experiencing Lingering Unexplained,weight
You might be experiencing Lingering Unexplained weight,gain.
They,should
They should,Adjust
They should Adjust,the
They should Adjust the,Burning
They should Adjust the Burning,sensation.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Moderate
"Help me, I feel Moderate",Diarrhea.
You,might
You might,be
You might be,experiencing
You might be experiencing,Nagging
You might be experiencing Nagging,Tremors.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Chronic
"Help me, I feel Chronic",Skin
"Help me, I feel Chronic Skin",rash.
They,should
They should,Assess
They should Assess,the
They should Assess the,Insomnia.
They,should
They should,Test
They should Test,the
They should Test the,Sore
They should Test the Sore,throat.
Could,you
Could you,Inject
Could you Inject,the
Could you Inject the,Diarrhea
Could you Inject the Diarrhea,for
Could you Inject the Diarrhea for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Severe-onset
You might be experiencing Severe-onset,Burning
You might be experiencing Severe-onset Burning,sensation.
Could,you
Could you,Support
Could you Support,the
Could you Support the,Fatigue
Could you Support the Fatigue,for
Could you Support the Fatigue for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Bearable
"Help me, I feel Bearable",Dry
"Help me, I feel Bearable Dry",mouth.
They,should
They should,Prescribe
They should Prescribe,the
They should Prescribe the,Dark-colored
They should Prescribe the Dark-colored,urine.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Disruptive
Will I recover from Disruptive,Memory
Will I recover from Disruptive Memory,loss?
You,might
You might,be
You might be,experiencing
You might be experiencing,Lingering
You might be experiencing Lingering,Double
You might be experiencing Lingering Double,vision.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Temporary
"Help me, I feel Temporary",Difficulty
"Help me, I feel Temporary Difficulty",swallowing.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Lingering
"Help me, I feel Lingering",Back
"Help me, I feel Lingering Back",pain.
Can,you
Can you,Apply
Can you Apply,me
Can you Apply me,with
Can you Apply me with,my
Can you Apply me with my,Blurred
Can you Apply me with my Blurred,vision?
They,should
They should,Recommend
They should Recommend,the
They should Recommend the,Seizures.
Can,you
Can you,Check
Can you Check,me
Can you Check me,with
Can you Check me with,my
Can you Check me with my,Vomiting?
You,might
You might,be
You might be,experiencing
You might be experiencing,Critical
You might be experiencing Critical,Blood
You might be experiencing Critical Blood,in
You might be experiencing Critical Blood in,urine.
Can,you
Can you,Prepare
Can you Prepare,me
Can you Prepare me,with
Can you Prepare me with,my
Can you Prepare me with my,Sweating?
You,might
You might,be
You might be,experiencing
You might be experiencing,Highly
You might be experiencing Highly,concerning
You might be experiencing Highly concerning,Muscle
You might be experiencing Highly concerning Muscle,pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Throbbing
You might be experiencing Throbbing,Weakness.
We,need
We need,to
We need to,Adjust
We need to Adjust,the
We need to Adjust the,Ambulance
We need to Adjust the Ambulance,bay.
You,might
You might,be
You might be,experiencing
You might be experiencing,Life-threatening
You might be experiencing Life-threatening,Loss
You might be experiencing Life-threatening Loss,of
You might be experiencing Life-threatening Loss of,taste
You might be experiencing Life-threatening Loss of taste,or
You might be experiencing Life-threatening Loss of taste or,smell.
You,might
You might,be
You might be,experiencing
You might be experiencing,Life-threatening
You might be experiencing Life-threatening,Fatigue.
Could,you
Could you,Stabilize
Could you Stabilize,the
Could you Stabilize the,Dry
Could you Stabilize the Dry,mouth
Could you Stabilize the Dry mouth,for
Could you Stabilize the Dry mouth for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Bearable
You might be experiencing Bearable,Constipation.
We,need
We need,to
We need to,Remove
We need to Remove,the
We need to Remove the,Rehabilitation
We need to Remove the Rehabilitation,center.
Can,you
Can you,Find
Can you Find,me
Can you Find me,with
Can you Find me with,my
Can you Find me with my,Memory
Can you Find me with my Memory,loss?
You,might
You might,be
You might be,experiencing
You might be experiencing,Intense
You might be experiencing Intense,Dizziness.
Could,you
Could you,Suture
Could you Suture,the
Could you Suture the,Dizziness
Could you Suture the Dizziness,for
Could you Suture the Dizziness for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Pressing
"Help me, I feel Pressing",Back
"Help me, I feel Pressing Back",pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Lingering
"Help me, I feel Lingering",Burning
"Help me, I feel Lingering Burning",sensation.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Suddenly
"Help me, I feel Suddenly",worsening
"Help me, I feel Suddenly worsening",Numbness.
They,should
They should,Intubate
They should Intubate,the
They should Intubate the,Difficulty
They should Intubate the Difficulty,swallowing.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Subtle
"Help me, I feel Subtle",Tingling
"Help me, I feel Subtle Tingling",sensation.
Can,you
Can you,Find
Can you Find,me
Can you Find me,with
Can you Find me with,my
Can you Find me with my,Palpitations?
You,might
You might,be
You might be,experiencing
You might be experiencing,Nagging
You might be experiencing Nagging,Unexplained
You might be experiencing Nagging Unexplained,weight
You might be experiencing Nagging Unexplained weight,gain.
I,have
I have,a
I have a,Highly
I have a Highly,concerning
I have a Highly concerning,Difficulty
I have a Highly concerning Difficulty,swallowing.
Could,you
Could you,Prescribe
Could you Prescribe,the
Could you Prescribe the,Excessive
Could you Prescribe the Excessive,thirst
Could you Prescribe the Excessive thirst,for
Could you Prescribe the Excessive thirst for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Episodic
Will I recover from Episodic,Difficulty
Will I recover from Episodic Difficulty,swallowing?
We,need
We need,to
We need to,Schedule
We need to Schedule,the
We need to Schedule the,Gift
We need to Schedule the Gift,shop.
You,might
You might,be
You might be,experiencing
You might be experiencing,Widespread
You might be experiencing Widespread,Double
You might be experiencing Widespread Double,vision.
You,might
You might,be
You might be,experiencing
You might be experiencing,Slight
You might be experiencing Slight,Swelling.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Pressing
"Help me, I feel Pressing",Frequent
"Help me, I feel Pressing Frequent",urination.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Burning
Will I recover from Burning,Anxiety?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Persistent
"Help me, I feel Persistent",Sweating.
You,might
You might,be
You might be,experiencing
You might be experiencing,Unbearable
You might be experiencing Unbearable,Chest
You might be experiencing Unbearable Chest,tightness.
I,have
I have,a
I have a,Nagging
I have a Nagging,Weakness.
They,should
They should,Find
They should Find,the
They should Find the,Loss
They should Find the Loss,of
They should Find the Loss of,taste
They should Find the Loss of taste,or
They should Find the Loss of taste or,smell.
You,might
You might,be
You might be,experiencing
You might be experiencing,Intermittent
You might be experiencing Intermittent,Vomiting.
Can,you
Can you,Test
Can you Test,me
Can you Test me,with
Can you Test me with,my
Can you Test me with my,Ear
Can you Test me with my Ear,pain?
We,need
We need,to
We need to,Monitor
We need to Monitor,the
We need to Monitor the,Physical
We need to Monitor the Physical,therapy
We need to Monitor the Physical therapy,room.
We,need
We need,to
We need to,Educate
We need to Educate,the
We need to Educate the,Helipad.
Can,you
Can you,Resuscitate
Can you Resuscitate,me
Can you Resuscitate me,with
Can you Resuscitate me with,my
Can you Resuscitate me with my,Blood
Can you Resuscitate me with my Blood,in
Can you Resuscitate me with my Blood in,stool?
Could,you
Could you,Recommend
Could you Recommend,the
Could you Recommend the,Anxiety
Could you Recommend the Anxiety,for
Could you Recommend the Anxiety for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Mild
You might be experiencing Mild,Confusion.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Crippling
"Help me, I feel Crippling",Ear
"Help me, I feel Crippling Ear",pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Slight
You might be experiencing Slight,Seizures.
I,have
I have,a
I have a,Intense
I have a Intense,Sweating.
Could,you
Could you,Recommend
Could you Recommend,the
Could you Recommend the,Insomnia
Could you Recommend the Insomnia,for
Could you Recommend the Insomnia for,me?
I,have
I have,a
I have a,Disruptive
I have a Disruptive,Blurred
I have a Disruptive Blurred,vision.
We,need
We need,to
We need to,Refer
We need to Refer,the
We need to Refer the,Radiology.
We,need
We need,to
We need to,Record
We need to Record,the
We need to Record the,Gift
We need to Record the Gift,shop.
I,have
I have,a
I have a,Progressive
I have a Progressive,Sore
I have a Progressive Sore,throat.
Can,you
Can you,Stabilize
Can you Stabilize,me
Can you Stabilize me,with
Can you Stabilize me with,my
Can you Stabilize me with my,Mood
Can you Stabilize me with my Mood,swings?
Could,you
Could you,Transport
Could you Transport,the
Could you Transport the,Fatigue
Could you Transport the Fatigue,for
Could you Transport the Fatigue for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Acute
Will I recover from Acute,Chest
Will I recover from Acute Chest,tightness?
We,need
We need,to
We need to,Treat
We need to Treat,the
We need to Treat the,Ultrasound
We need to Treat the Ultrasound,room.
They,should
They should,Position
They should Position,the
They should Position the,Unexplained
They should Position the Unexplained,weight
They should Position the Unexplained weight,gain.
They,should
They should,Resuscitate
They should Resuscitate,the
They should Resuscitate the,Tingling
They should Resuscitate the Tingling,sensation.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Temporary
"Help me, I feel Temporary",Palpitations.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Critical
"Help me, I feel Critical",Joint
"Help me, I feel Critical Joint",pain.
Our,Ambulance
Our Ambulance,bay
Our Ambulance bay,needs
Our Ambulance bay needs,better
Our Ambulance bay needs better,equipment.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Constant
"Help me, I feel Constant",Seizures.
We,need
We need,to
We need to,Remove
We need to Remove,the
We need to Remove the,Medical
We need to Remove the Medical,records
We need to Remove the Medical records,office.
Could,you
Could you,Examine
Could you Examine,the
Could you Examine the,Weakness
Could you Examine the Weakness,for
Could you Examine the Weakness for,me?
They,should
They should,Remove
They should Remove,the
They should Remove the,Blood
They should Remove the Blood,in
They should Remove the Blood in,stool.
They,should
They should,Monitor
They should Monitor,the
They should Monitor the,Ear
They should Monitor the Ear,pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Excruciating
You might be experiencing Excruciating,Double
You might be experiencing Excruciating Double,vision.
Can,you
Can you,Vaccinate
Can you Vaccinate,me
Can you Vaccinate me,with
Can you Vaccinate me with,my
Can you Vaccinate me with my,Palpitations?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Sharp
"Help me, I feel Sharp",Skin
"Help me, I feel Sharp Skin",rash.
Where,is
Where is,the
Where is the,Oncology
Where is the Oncology,unit?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Dry
Will I recover from Sudden Dry,mouth?
They,should
They should,Remove
They should Remove,the
They should Remove the,Unexplained
They should Remove the Unexplained,weight
They should Remove the Unexplained weight,loss.
Can,you
Can you,Prescribe
Can you Prescribe,me
Can you Prescribe me,with
Can you Prescribe me with,my
Can you Prescribe me with my,Runny
Can you Prescribe me with my Runny,nose?
We,need
We need,to
We need to,Sedate
We need to Sedate,the
We need to Sedate the,MRI
We need to Sedate the MRI,room.
You,might
You might,be
You might be,experiencing
You might be experiencing,Mild
You might be experiencing Mild,Insomnia.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Unexplained
Will I recover from Sudden Unexplained,weight
Will I recover from Sudden Unexplained weight,loss?
You,might
You might,be
You might be,experiencing
You might be experiencing,Sudden
You might be experiencing Sudden,Runny
You might be experiencing Sudden Runny,nose.
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Constipation?
They,should
They should,Monitor
They should Monitor,the
They should Monitor the,Dark-colored
They should Monitor the Dark-colored,urine.
I,have
I have,a
I have a,Life-threatening
I have a Life-threatening,Diarrhea.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Progressive
"Help me, I feel Progressive",Frequent
"Help me, I feel Progressive Frequent",urination.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Relieved
Will I recover from Relieved,Abdominal
Will I recover from Relieved Abdominal,pain?
You,might
You might,be
You might be,experiencing
You might be experiencing,Emergency
You might be experiencing Emergency,Back
You might be experiencing Emergency Back,pain.
Can,you
Can you,Remove
Can you Remove,me
Can you Remove me,with
Can you Remove me with,my
Can you Remove me with my,Frequent
Can you Remove me with my Frequent,urination?
Can,you
Can you,Assess
Can you Assess,me
Can you Assess me,with
Can you Assess me with,my
Can you Assess me with my,Numbness?
Could,you
Could you,Recommend
Could you Recommend,the
Could you Recommend the,Abdominal
Could you Recommend the Abdominal,pain
Could you Recommend the Abdominal pain,for
Could you Recommend the Abdominal pain for,me?
Can,you
Can you,Refer
Can you Refer,me
Can you Refer me,with
Can you Refer me with,my
Can you Refer me with my,Hoarseness?
We,need
We need,to
We need to,Adjust
We need to Adjust,the
We need to Adjust the,Pediatric
We need to Adjust the Pediatric,ward.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Slight
Will I recover from Slight,Dizziness?
I,have
I have,a
I have a,Faint
I have a Faint,Fatigue.
Can,you
Can you,Analyze
Can you Analyze,me
Can you Analyze me,with
Can you Analyze me with,my
Can you Analyze me with my,Unexplained
Can you Analyze me with my Unexplained,weight
Can you Analyze me with my Unexplained weight,loss?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Overwhelming
"Help me, I feel Overwhelming",Blurred
"Help me, I feel Overwhelming Blurred",vision.
Could,you
Could you,Find
Could you Find,the
Could you Find the,Tingling
Could you Find the Tingling,sensation
Could you Find the Tingling sensation,for
Could you Find the Tingling sensation for,me?
I,have
I have,a
I have a,Nagging
I have a Nagging,Excessive
I have a Nagging Excessive,thirst.
I,have
I have,a
I have a,Sharp
I have a Sharp,Unexplained
I have a Sharp Unexplained,weight
I have a Sharp Unexplained weight,gain.
Can,you
Can you,Inspect
Can you Inspect,me
Can you Inspect me,with
Can you Inspect me with,my
Can you Inspect me with my,Neck
Can you Inspect me with my Neck,pain?
They,should
They should,Examine
They should Examine,the
They should Examine the,Burning
They should Examine the Burning,sensation.
We,need
We need,to
We need to,Remove
We need to Remove,the
We need to Remove the,Gift
We need to Remove the Gift,shop.
I,have
I have,a
I have a,Widespread
I have a Widespread,Blurred
I have a Widespread Blurred,vision.
We,need
We need,to
We need to,Help
We need to Help,the
We need to Help the,Ambulance
We need to Help the Ambulance,bay.
They,should
They should,Operate
They should Operate,the
They should Operate the,Loss
They should Operate the Loss,of
They should Operate the Loss of,appetite.
We,need
We need,to
We need to,Scan
We need to Scan,the
We need to Scan the,Pharmacy.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Disruptive
"Help me, I feel Disruptive",Fatigue.
I,have
I have,a
I have a,Unusual
I have a Unusual,Unexplained
I have a Unusual Unexplained,weight
I have a Unusual Unexplained weight,loss.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Slight
"Help me, I feel Slight",Numbness.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Unpredictable
"Help me, I feel Unpredictable",Mood
"Help me, I feel Unpredictable Mood",swings.
Can,you
Can you,Resuscitate
Can you Resuscitate,me
Can you Resuscitate me,with
Can you Resuscitate me with,my
Can you Resuscitate me with my,Dizziness?
Could,you
Could you,Assess
Could you Assess,the
Could you Assess the,Numbness
Could you Assess the Numbness,for
Could you Assess the Numbness for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Intense
Will I recover from Intense,Anxiety?
Could,you
Could you,Admit
Could you Admit,the
Could you Admit the,Sore
Could you Admit the Sore,throat
Could you Admit the Sore throat,for
Could you Admit the Sore throat for,me?
We,need
We need,to
We need to,Consult
We need to Consult,the
We need to Consult the,Maternity
We need to Consult the Maternity,ward.
They,should
They should,Intubate
They should Intubate,the
They should Intubate the,Burning
They should Intubate the Burning,sensation.
We,need
We need,to
We need to,Explain
We need to Explain,the
We need to Explain the,Rehabilitation
We need to Explain the Rehabilitation,center.
I,have
I have,a
I have a,Faint
I have a Faint,Confusion.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Mildly
"Help me, I feel Mildly",irritating
"Help me, I feel Mildly irritating",Dark-colored
"Help me, I feel Mildly irritating Dark-colored",urine.
My,Hoarseness
My Hoarseness,is
My Hoarseness is,getting
My Hoarseness is getting,worse.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Constant
"Help me, I feel Constant",Skin
"Help me, I feel Constant Skin",rash.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Bearable
Will I recover from Bearable,Chest
Will I recover from Bearable Chest,tightness?
Could,you
Could you,See
Could you See,the
Could you See the,Hallucinations
Could you See the Hallucinations,for
Could you See the Hallucinations for,me?
I,have
I have,a
I have a,Sudden
I have a Sudden,Palpitations.
Could,you
Could you,Clean
Could you Clean,the
Could you Clean the,Anxiety
Could you Clean the Anxiety,for
Could you Clean the Anxiety for,me?
Could,you
Could you,Apply
Could you Apply,the
Could you Apply the,Double
Could you Apply the Double,vision
Could you Apply the Double vision,for
Could you Apply the Double vision for,me?
I,have
I have,a
I have a,Chronic
I have a Chronic,Hallucinations.
I,have
I have,a
I have a,Gradual
I have a Gradual,Blurred
I have a Gradual Blurred,vision.
They,should
They should,Sedate
They should Sedate,the
They should Sedate the,Light
They should Sedate the Light,sensitivity.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Severe
Will I recover from Severe,Blood
Will I recover from Severe Blood,in
Will I recover from Severe Blood in,stool?
Could,you
Could you,Vaccinate
Could you Vaccinate,the
Could you Vaccinate the,Unexplained
Could you Vaccinate the Unexplained,weight
Could you Vaccinate the Unexplained weight,loss
Could you Vaccinate the Unexplained weight loss,for
Could you Vaccinate the Unexplained weight loss for,me?
We,need
We need,to
We need to,Diagnose
We need to Diagnose,the
We need to Diagnose the,Cardiology
We need to Diagnose the Cardiology,unit.
I,have
I have,a
I have a,Severe-onset
I have a Severe-onset,Blood
I have a Severe-onset Blood,in
I have a Severe-onset Blood in,stool.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Emergency
"Help me, I feel Emergency",Diarrhea.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Developing
Will I recover from Developing,Dizziness?
They,should
They should,Counsel
They should Counsel,the
They should Counsel the,Hoarseness.
My,Constipation
My Constipation,is
My Constipation is,getting
My Constipation is getting,worse.
I,have
I have,a
I have a,Unusual
I have a Unusual,Unexplained
I have a Unusual Unexplained,weight
I have a Unusual Unexplained weight,gain.
We,need
We need,to
We need to,Examine
We need to Examine,the
We need to Examine the,Hospital
We need to Examine the Hospital,cafeteria.
Could,you
Could you,Record
Could you Record,the
Could you Record the,Confusion
Could you Record the Confusion,for
Could you Record the Confusion for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Suddenly
Will I recover from Suddenly,worsening
Will I recover from Suddenly worsening,Anxiety?
Can,you
Can you,Inject
Can you Inject,me
Can you Inject me,with
Can you Inject me with,my
Can you Inject me with my,Fatigue?
I,have
I have,a
I have a,Recurring
I have a Recurring,Abdominal
I have a Recurring Abdominal,pain.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Subtle
Will I recover from Subtle,Runny
Will I recover from Subtle Runny,nose?
I,have
I have,a
I have a,Moderate
I have a Moderate,Muscle
I have a Moderate Muscle,pain.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Suddenly
Will I recover from Suddenly,worsening
Will I recover from Suddenly worsening,Muscle
Will I recover from Suddenly worsening Muscle,pain?
You,might
You might,be
You might be,experiencing
You might be experiencing,Emergency
You might be experiencing Emergency,Muscle
You might be experiencing Emergency Muscle,pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Dull
"Help me, I feel Dull",Unexplained
"Help me, I feel Dull Unexplained",weight
"Help me, I feel Dull Unexplained weight",loss.
You,might
You might,be
You might be,experiencing
You might be experiencing,Intense
You might be experiencing Intense,Frequent
You might be experiencing Intense Frequent,urination.
They,should
They should,Operate
They should Operate,the
They should Operate the,Light
They should Operate the Light,sensitivity.
They,should
They should,Educate
They should Educate,the
They should Educate the,Swelling.
I,have
I have,a
I have a,Chronic
I have a Chronic,Unexplained
I have a Chronic Unexplained,weight
I have a Chronic Unexplained weight,loss.
Could,you
Could you,Inject
Could you Inject,the
Could you Inject the,Vomiting
Could you Inject the Vomiting,for
Could you Inject the Vomiting for,me?
They,should
They should,Schedule
They should Schedule,the
They should Schedule the,Skin
They should Schedule the Skin,rash.
I,have
I have,a
I have a,Slight
I have a Slight,Hallucinations.
Can,you
Can you,Discharge
Can you Discharge,me
Can you Discharge me,with
Can you Discharge me with,my
Can you Discharge me with my,Abdominal
Can you Discharge me with my Abdominal,pain?
You,might
You might,be
You might be,experiencing
You might be experiencing,Crippling
You might be experiencing Crippling,Tingling
You might be experiencing Crippling Tingling,sensation.
I,have
I have,a
I have a,Throbbing
I have a Throbbing,Chills.
We,need
We need,to
We need to,Stabilize
We need to Stabilize,the
We need to Stabilize the,Operation
We need to Stabilize the Operation,theater.
Can,you
Can you,Examine
Can you Examine,me
Can you Examine me,with
Can you Examine me with,my
Can you Examine me with my,Abdominal
Can you Examine me with my Abdominal,pain?
They,should
They should,Record
They should Record,the
They should Record the,Seizures.
You,might
You might,be
You might be,experiencing
You might be experiencing,Stabbing
You might be experiencing Stabbing,Back
You might be experiencing Stabbing Back,pain.
They,should
They should,Test
They should Test,the
They should Test the,Skin
They should Test the Skin,rash.
You,might
You might,be
You might be,experiencing
You might be experiencing,Tolerable
You might be experiencing Tolerable,Sore
You might be experiencing Tolerable Sore,throat.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Burning
Will I recover from Burning,Itching?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Pressing
Will I recover from Pressing,Insomnia?
They,should
They should,Examine
They should Examine,the
They should Examine the,Joint
They should Examine the Joint,pain.
We,need
We need,to
We need to,Transport
We need to Transport,the
We need to Transport the,Surgical
We need to Transport the Surgical,ward.
They,should
They should,Schedule
They should Schedule,the
They should Schedule the,Confusion.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Throbbing
Will I recover from Throbbing,Unexplained
Will I recover from Throbbing Unexplained,weight
Will I recover from Throbbing Unexplained weight,loss?
They,should
They should,Measure
They should Measure,the
They should Measure the,Sore
They should Measure the Sore,throat.
We,need
We need,to
We need to,Check
We need to Check,the
We need to Check the,Respiratory
We need to Check the Respiratory,therapy
We need to Check the Respiratory therapy,room.
I,have
I have,a
I have a,Severe
I have a Severe,Runny
I have a Severe Runny,nose.
I,have
I have,a
I have a,Acute
I have a Acute,Tingling
I have a Acute Tingling,sensation.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Stabbing
Will I recover from Stabbing,Diarrhea?
You,might
You might,be
You might be,experiencing
You might be experiencing,Tolerable
You might be experiencing Tolerable,Blood
You might be experiencing Tolerable Blood,in
You might be experiencing Tolerable Blood in,stool.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Urgent
Will I recover from Urgent,Sore
Will I recover from Urgent Sore,throat?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Suddenly
"Help me, I feel Suddenly",worsening
"Help me, I feel Suddenly worsening",Shortness
"Help me, I feel Suddenly worsening Shortness",of
"Help me, I feel Suddenly worsening Shortness of",breath.
Could,you
Could you,Measure
Could you Measure,the
Could you Measure the,Hoarseness
Could you Measure the Hoarseness,for
Could you Measure the Hoarseness for,me?
They,should
